transaction_id,timestamp,item_name,category,quantity,unit_price,food_cost,table_id,server_id,payment_method
8F872AA9,2026-02-27 15:16:55,Mushroom Risotto,food,2,358,119.89,T01,server_02,Cash
2FD363A2,2026-02-27 15:16:55,Caesar Salad,food,1,192,45.57,T01,server_03,UPI
1766587A,2026-02-27 15:16:55,Veg Burger,food,1,192,48.63,T01,server_01,Card
5F4DBA21,2026-02-27 11:53:26,Mango Lassi,beverage,1,105,22.71,T02,server_03,UPI
B345BB33,2026-02-27 11:53:26,Chicken Tikka Wrap,food,1,215,63.8,T02,server_01,Cash
01F61848,2026-02-27 11:53:26,Caesar Salad,food,1,189,51.1,T02,server_02,UPI
43183CC4,2026-02-27 11:53:26,Chicken Tikka Wrap,food,1,216,68.67,T02,server_03,UPI
39837182,2026-02-27 16:26:09,Mushroom Risotto,food,2,343,116.8,T03,server_03,Cash
5CBCF757,2026-02-27 16:26:09,Sparkling Water,beverage,1,89,8.5,T03,server_03,Wallet
6FD85FB4,2026-02-27 16:26:09,Fish & Chips,food,2,391,136.76,T03,server_02,Wallet
7CE18283,2026-02-27 16:26:09,Grilled Salmon,food,1,496,188.92,T03,server_02,Card
BD35862C,2026-02-27 13:36:48,Masala Chai,beverage,1,58,6.84,T04,server_01,UPI
F19BD653,2026-02-27 13:36:48,Fish & Chips,food,2,381,129.85,T04,server_02,Wallet
5873FB32,2026-02-27 13:36:48,Pasta Arrabiata,food,1,279,63.02,T04,server_03,Cash
8129A264,2026-02-27 19:00:26,Fresh Lime Soda,beverage,1,80,11.48,T05,server_02,Card
D6F706E7,2026-02-27 19:00:26,Chocolate Lava Cake,dessert,1,225,68.53,T05,server_01,Card
6188E5D7,2026-02-27 19:00:26,Mango Lassi,beverage,1,109,22.94,T05,server_03,Card
E4831FD5,2026-02-27 16:28:03,Grilled Salmon,food,1,490,185.68,T06,server_01,Card
BD2E9FFA,2026-02-27 16:28:03,Pasta Arrabiata,food,1,274,59.99,T06,server_02,UPI
16A5ABD3,2026-02-27 16:28:03,Fresh Lime Soda,beverage,1,77,11.18,T06,server_01,Wallet
A3F0A0CB,2026-02-27 16:28:03,Mushroom Risotto,food,2,362,112.14,T06,server_01,Wallet
4E470A07,2026-02-27 13:50:22,Veg Burger,food,1,208,51.85,T07,server_02,UPI
D89F2FCD,2026-02-27 13:50:22,Grilled Salmon,food,1,474,179.37,T07,server_03,Card
E01A2D5A,2026-02-27 13:50:22,Grilled Salmon,food,1,477,174.73,T07,server_01,Cash
F4F39867,2026-02-27 16:59:04,Sparkling Water,beverage,1,86,9.02,T08,server_02,Cash
05D739F6,2026-02-27 16:59:04,Masala Chai,beverage,1,57,6.37,T08,server_01,Card
1C78141E,2026-02-27 11:33:42,Cold Coffee,beverage,1,121,23.14,T09,server_02,UPI
763775FB,2026-02-27 11:33:42,Mango Lassi,beverage,2,109,23.95,T09,server_02,UPI
98BB92CE,2026-02-27 15:22:00,Mushroom Risotto,food,1,350,109.49,T10,server_01,Wallet
115A2F4F,2026-02-27 15:22:00,Dal Makhani Bowl,food,1,171,36.13,T10,server_02,Cash
62D38CFA,2026-02-27 15:22:00,Cold Coffee,beverage,2,123,24.29,T10,server_03,Card
09391822,2026-02-27 15:22:00,Gulab Jamun,dessert,1,120,25.94,T10,server_02,UPI
F2F5F5E3,2026-02-27 14:00:19,Dal Makhani Bowl,food,1,173,34.04,T11,server_02,Cash
A58D6AC8,2026-02-27 14:00:19,Mushroom Risotto,food,1,360,115.72,T11,server_01,Wallet
2E8C22A1,2026-02-27 14:00:19,Fresh Lime Soda,beverage,1,79,12.08,T11,server_01,Card
C5687DFF,2026-02-27 14:00:19,Chicken Tikka Wrap,food,2,225,62.46,T11,server_03,Wallet
8C89E982,2026-02-27 21:10:18,Dal Makhani Bowl,food,1,171,32.61,T12,server_03,Card
9629565F,2026-02-27 21:10:18,Fish & Chips,food,1,391,137.9,T12,server_02,Cash
6C514994,2026-02-27 21:10:18,Mushroom Risotto,food,1,356,113.6,T12,server_02,Cash
DE75C381,2026-02-27 21:10:18,Fish & Chips,food,1,362,127.55,T12,server_03,Card
EE0DCE68,2026-02-27 21:11:04,Dal Makhani Bowl,food,2,173,35.1,T13,server_01,UPI
CC39BE70,2026-02-27 21:11:04,Dal Makhani Bowl,food,2,189,38.87,T13,server_02,Cash
89DD7E93,2026-02-27 11:53:38,Caesar Salad,food,1,198,49.05,T14,server_02,UPI
DE04C0B7,2026-02-27 11:53:38,Veg Burger,food,2,205,47.88,T14,server_03,Cash
DFA97400,2026-02-27 11:53:38,Pasta Arrabiata,food,1,267,53.39,T14,server_01,Wallet
E90718B6,2026-02-27 20:25:19,Sparkling Water,beverage,1,88,8.86,T15,server_03,Card
83BB4608,2026-02-27 20:25:19,Sparkling Water,beverage,1,94,9.68,T15,server_01,Card
FBB05205,2026-02-27 19:14:39,Grilled Salmon,food,1,467,182.67,T16,server_02,Card
966B9B95,2026-02-27 19:14:39,Lamb Kebab Platter,food,1,523,220.63,T16,server_02,Card
2CD4D8D7,2026-02-27 19:14:39,Pasta Arrabiata,food,1,271,56.74,T16,server_02,Cash
1B7BF38A,2026-02-27 19:16:28,Veg Burger,food,1,199,48.58,T17,server_03,Wallet
E0F0EFF9,2026-02-27 19:16:28,Gulab Jamun,dessert,1,125,26.17,T17,server_01,Wallet
755DAC6A,2026-02-27 19:16:28,Pasta Arrabiata,food,1,286,59.26,T17,server_03,Cash
